Exchange Date;Close;Adjusted Close;Net;%Chg;Open;Low;High;Volume;Turnover - EUR;Flow
07. Sep 23;146.01;;Jan 51;1.04%;141.25;138.41;147.11;275.008;39642829.8;872545140.5
06. Sep 23;144.5;;0.9;0.63%;143.37;142.1;147.07;323.049;46483419.99;830727980.03
05. Sep 23;143.6;;Mai 37;3.88%;138.7;138.24;145.09;483.495;69203836.15;784757726.52
01. Sep 23;138.23;;Feb 49;1.84%;138.31;134.83;141.53;791.101;109505961.61;712033037.54
31. Aug 23;135.74;;0.96;0.71%;135.63;133.85;137.2;423.245;57313353.72;598742822.92
30. Aug 23;134.79;;Jan 82;1.37%;132.04;131.58;136.32;599.316;80725974.91;651077540.84
29. Aug 23;132.97;;Aug 65;6.95%;122.47;122.47;133.54;666.253;87923750.45;572812609.7
28. Aug 23;124.32;;-0.74;-0.59%;124.81;123.76;128.14;430.386;54110087.01;487578672.04
25. Aug 23;125.07;;Mrz 59;2.96%;121.38;121.38;125.31;270.641;33546886.49;542544239.04
24. Aug 23;121.47;;-3.67;-2.93%;127.16;121.1;127.17;276.491;34086799.27;508568575.06
23. Aug 23;125.14;;Mai 27;4.39%;120.22;119.17;125.9;458.767;56885010.59;540162497.13
22. Aug 23;119.87;;Mrz 36;2.89%;118.78;116.32;120.48;325.264;38711478.41;483943967.59
21. Aug 23;116.51;;Feb 47;2.17%;114.42;113.86;117.85;413.294;47978717.37;443310907.14
18. Aug 23;114.04;;-2.43;-2.09%;113.66;112.19;116.79;573.180;65715073.79;396279412.91
17. Aug 23;116.47;;-3.31;-2.76%;120.24;115.43;120.49;426.934;49961444.28;461738489.58
16. Aug 23;119.77;;0.01;0.01%;119.96;118.64;120.78;315.229;37761310.45;511555304.15
15. Aug 23;119.76;;-6.29;-4.99%;124.5;119.62;125.74;565.696;68559263.05;547805369.7
14. Aug 23;126.05;;-0.78;-0.62%;125.97;124.72;127.46;370.932;46711030.88;616364632.75
11. Aug 23;126.84;;-1.57;-1.22%;126.32;125.44;128.77;334.383;42398182.01;660653542.06
10. Aug 23;128.41;;-3.65;-2.77%;133.44;126.61;134.11;526.982;68077133.81;700812705.84
09. Aug 23;132.06;;Jul 91;6.37%;131.44;128.96;139.82;1.273.157;171576655.01;769311921.62
08. Aug 23;124.16;;-3.22;-2.53%;126.99;119.07;127.13;1.150.776;141720042.5;598771578.06
07. Aug 23;127.38;;Feb 62;2.1%;124.98;122.96;128.1;624.591;78766428.6;737263310.38
