Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Bid,Ask
45608,71.89,0.06,0.000835306,71.97,71.55,72.82,317337,71.72,71.79
45607,71.83,-2.04,-0.027616082,73.85,71.57,74.13,366901,71.89,71.91
45604,73.87,-1.76,-0.023271189,75.55,73.44,75.61,324163,73.87,73.93
45603,75.63,0.71,0.009476775,74.99,74.02,76.08,397043,75.55,75.58
45602,74.92,-0.61,-0.008076261,75.3,73.34,75.98,467562,75.16,75.17
45601,75.53,0.45,0.005993607,75,74.9,76.24,296478,75.41,75.55
45600,75.08,1.98,0.027086183,74,73.88,75.4,299385,75.19,75.21
45597,73.1,-0.06,-0.00082012,74.11,72.89,74.94,336957,72.94,72.95
45596,73.16,0.61,0.008407994,72.85,72.2,73.38,14265,73.14,73.16
45595,72.55,1.43,0.020106862,71.39,71.08,73.12,90921,72.98,73.07
45594,71.12,-0.3,-0.004200504,72,70.72,72.6,108885,71.39,71.42
45593,71.42,-4.63,-0.060880999,72.77,71.18,73.28,317177,72.05,72.09
45590,76.05,1.67,0.022452272,74.66,74.17,76.14,209780,75.89,75.9
45589,74.38,-0.58,-0.00773746,75.35,74,76.54,272667,74.52,74.54
45588,74.96,-1.08,-0.014203051,75.73,74.42,76.05,288437,75.17,75.24
45587,76.04,1.75,0.023556333,74.23,73.57,76.32,353150,75.55,75.64
45586,74.29,1.23,0.016835478,73.11,72.8,74.57,279248,74.07,74.1
45583,73.06,-1.39,-0.018670248,74.59,72.5,74.95,320777,73.17,73.21
45582,74.45,0.23,0.003098895,74.47,73.26,74.92,298428,74.43,74.46
45581,74.22,-0.03,-0.00040404,74.71,73.42,74.93,323371,74.44,74.49
45580,74.25,-3.21,-0.041440744,75.22,73.34,75.57,491233,74.64,74.71
45579,77.46,-1.58,-0.019989879,78.55,74.86,78.55,343072,75.01,75.19
45576,79.04,-0.36,-0.004534005,79.14,78.04,79.5,365343,78.76,79.08
45575,79.4,2.82,0.036824236,76.76,76.72,79.72,400887,79.23,79.29
45574,76.58,-0.6,-0.007774035,77.49,75.15,78.02,497001,76.76,76.8
45573,77.18,-3.75,-0.04633634,80.96,76.36,81.14,646380,77.44,77.5
45572,80.93,2.88,0.036899423,78.07,77.23,81.16,496795,81.11,81.14
45569,78.05,0.43,0.005539809,77.79,77.39,79.3,562047,78.05,78.33
45568,77.62,3.72,0.050338295,74.59,74.31,77.99,643308,77.88,77.92
45567,73.9,0.34,0.004622077,74.47,73.59,76.14,541739,74.65,74.67
45566,73.56,1.79,0.024940783,71.85,69.91,75.45,869146,74.44,74.47
45565,71.77,-0.21,-0.002917477,72.5,71.26,73.17,19517,71.76,71.81
45562,71.98,0.38,0.005307263,71.42,70.91,72.45,99353,72.4,72.45
45561,71.6,-1.86,-0.025319902,73.4,70.72,73.8,162218,71.42,71.45
45560,73.46,-1.71,-0.022748437,75.18,73.06,75.35,283657,73.68,73.71
45559,75.17,1.27,0.017185386,74.13,73.95,75.87,238473,75.11,75.21
45558,73.9,-0.59,-0.007920526,74.71,73.1,75.17,273950,74.3,74.33
45555,74.49,-0.39,-0.005208333,74.77,74,75,221094,74.7,74.73
45554,74.88,1.23,0.016700611,73.13,72.91,75.18,299013,74.89,74.95
45553,73.65,-0.05,-0.000678426,73.69,72.31,74.1,290808,72.79,72.94
45552,73.7,0.95,0.013058419,72.91,72.17,74.28,274588,73.73,73.78
45551,72.75,1.14,0.015919564,72.09,71.52,73.39,232184,72.97,73
45548,71.61,-0.36,-0.005002084,72.3,71.46,73.24,260635,72.09,72.11
45547,71.97,1.36,0.019260728,70.6,70.59,72.87,361866,72.21,72.26
45546,70.61,1.42,0.020523197,69.68,69,71.09,354353,70.69,70.75
45545,69.19,-2.65,-0.036887528,71.92,68.68,72.28,395714,69.67,69.72
45544,71.84,0.78,0.010976639,71.66,70.65,72.21,314516,71.9,71.91
45541,71.06,-1.63,-0.022423992,72.81,70.61,73.53,374052,71.48,71.79
45540,72.69,-0.01,-0.000137552,72.76,72.37,74.2,394468,72.84,72.87
45539,72.7,-1.05,-0.014237288,73.67,72.35,74.8,523500,72.73,72.77
45538,73.75,-3.77,-0.048632611,77.16,73.51,77.55,568052,73.7,73.72
45537,77.52,-1.28,-0.016243655,76.95,76.21,77.63,181373,77.27,77.29
45534,78.8,-1.14,-0.014260696,79.92,78.57,80.6,17105,78.75,78.82
45533,79.94,1.29,0.01640178,78.52,78.12,80.78,97644,79.89,79.96
45532,78.65,-0.9,-0.011313639,79.87,77.95,80.01,121160,78.47,78.5
45531,79.55,-1.88,-0.023087314,81.26,79.47,81.59,238217,79.82,79.87
45530,81.43,2.41,0.030498608,79.35,79.24,81.58,234375,81.26,81.3
45527,79.02,1.8,0.023310023,77.25,77.03,79.27,216340,78.98,79.09
45526,77.22,1.17,0.015384615,75.96,75.77,77.7,277529,77.11,77.13
45525,76.05,-1.15,-0.014896373,77.13,75.65,78.21,323323,76.07,76.14
45524,77.2,-0.46,-0.005923255,77.66,76.55,78.35,367144,77.13,77.24
45523,77.66,-2.02,-0.025351406,79.6,77.48,79.81,366537,77.73,77.75
45520,79.68,-1.36,-0.016781836,80.86,78.62,81.02,320913,79.58,79.64
45519,81.04,1.28,0.016048144,79.96,79.61,81.43,270927,80.93,80.98
45518,79.76,-0.93,-0.011525592,81,79.6,81.44,359131,79.99,80.04
45517,80.69,-1.61,-0.019562576,81.88,80.55,82.3,356457,80.97,81
45516,82.3,2.64,0.033140849,79.56,79.46,82.4,328381,82.04,82.05
45513,79.66,0.5,0.006316321,79.03,78.77,79.83,213072,,
